obs_id,true_value,meas_value,corr_value,diff(%)
5,  13.6296   6.10357 -0.795208  -1.16552,  13.5656   6.08605 -0.815246   -1.1581,  13.4676   6.12245 -0.804693  -1.17328,-1.18866 0.309388  1.19281  0.66618
6,  3.73903   1.32857  0.946999 -0.951825,  3.87327   1.48182  0.988792 -0.951423,  3.80222   1.49809  0.963507 -0.940902, 1.69008  12.7594  1.74328 -1.14762
7, 5.51768  18.8409 -1.09047 -1.13779, 5.32867  18.8985 -1.12426  -1.2404, 5.29327  18.9421 -1.10312 -1.18516,-4.06702 0.537232  1.15964  4.16297
8, 8.75815  11.6889 0.705534 0.888365, 9.16639  11.8081 0.670555 0.875783, 9.17149  11.7348  0.68759 0.866816, 4.71951 0.392503 -2.54328 -2.42578
11, 17.8551  5.66424 0.767652 -1.02234, 17.9372  5.26382 0.682693 -1.01252, 17.8939  5.39375 0.710223 -1.00061,0.217215 -4.77543 -7.48115 -2.12561
14,  2.88933   8.00339  0.812975 -0.866144,  3.02362   7.77525  0.758595 -0.852016,  3.08537   7.78064  0.793468 -0.850372, 6.78498 -2.78319 -2.39939 -1.82088
15,  5.70689   18.0645 -0.624999 -0.719579,  5.72674   18.0141 -0.677455 -0.636071,  5.73539   18.0937 -0.654242 -0.655892,0.499331 0.161461  4.67894 -8.85062
17, 6.10688  17.7962 -1.14015 -1.15199, 5.83241  17.7149 -1.13772 -1.14724, 5.90551  17.8194 -1.12014 -1.15403,-3.29746 0.129974 -1.75572 0.176331
19, 7.62754   13.551  1.18179 -0.64807,  7.82789    13.182   1.20428 -0.563055,  7.80772   13.2689   1.20098 -0.610647, 2.36228 -2.08161  1.62441 -5.77467
20,  4.27224   8.02961 -0.788974 -0.780877,  4.54317   7.96841  -0.70777 -0.833594,  4.48651   7.95114 -0.738882 -0.831749,  5.01522 -0.977373  -6.34898   6.51477
21,  3.07745   4.13046 -0.659473 -0.991615,   3.1612   4.31691 -0.622056 -0.984391,  3.10774   4.30658 -0.643312 -0.999925,0.984121  4.26392 -2.45064 0.838077
5,  13.6031   6.06472 -0.795208  -1.16552,  13.7241   5.97143 -0.761739  -1.13522, 13.6604   5.9967 -0.77811 -1.14977,0.421007 -1.12149 -2.15017 -1.35114
6,  3.77059   1.29684  0.946999 -0.951825,  3.59322   1.29105  0.945616 -0.964849,  3.64747   1.33056  0.952419 -0.955725,-3.26535  2.59948 0.572369 0.409726
7, 5.48133  18.8029 -1.09047 -1.13779, 5.75109  18.7195 -1.11257 -1.09316, 5.63972  18.7609 -1.10889 -1.12832,  2.88966 -0.223662   1.68955  -0.83227
8, 8.78167  11.7185 0.705534 0.888365, 8.78997  11.6536 0.687672 0.924775, 8.88103  11.6785 0.687589 0.902622,  1.13146 -0.341957   -2.5435   1.60482
11, 17.8807  5.63016 0.767652 -1.02234,  18.0907   5.83831  0.786808 -0.923712,  18.0519   5.73085  0.757577 -0.953023,0.957391  1.78849 -1.31248 -6.78036
14,  2.91643   7.97451  0.812975 -0.866144, 3.09098  8.11821  0.74497 -0.81822,  3.09558   8.03588  0.763492 -0.830454, 6.14279 0.769587  -6.0866 -4.12058
15,  5.68606   18.0405 -0.624999 -0.719579,  5.46539   18.3119 -0.634502 -0.747871,   5.5213   18.2577 -0.642074 -0.712707, -2.89747   1.20375   2.73211 -0.955036
17, 6.06887  17.7578 -1.14015 -1.15199, 5.48342  17.2119 -1.18088 -1.18105, 5.56993    17.34 -1.15773  -1.1708,-8.22134 -2.35311  1.54155   1.6324
19, 7.66693  13.5294  1.18179 -0.64807, 7.80395  13.4789  1.18823 -0.67707,  7.81379   13.4269    1.1931 -0.651669,   1.9155 -0.757385  0.956953  0.555256
20,  4.24595   8.00358 -0.788974 -0.780877,  4.30518   8.07522 -0.872727  -0.78552,   4.3402   8.04113 -0.821623 -0.803159, 2.21994 0.469093  4.13819  2.85347
21,  3.05547   4.09741 -0.659473 -0.991615,   3.1728    4.0538 -0.683631 -0.940416,  3.15325   4.10332 -0.668219 -0.963175,  3.2002 0.144364  1.32627 -2.86802
5,  13.5766   6.02587 -0.795208  -1.16552,  13.4309   5.68184 -0.862622  -1.10954,  13.4766   5.74418 -0.830367  -1.12494,-0.73676 -4.67456  4.42139 -3.48149
6,  3.80216   1.26512  0.946999 -0.951825,  4.10618   1.46273  0.967584 -0.940331, 4.01008  1.42583 0.961846 -0.94619,  5.46846   12.7032   1.56788 -0.592054
7, 5.44498   18.765 -1.09047 -1.13779, 5.26032  18.8713 -1.17281 -1.11134,  5.3373   18.838 -1.14844 -1.11781,-1.97767 0.388839  5.31592 -1.75651
8, 8.80519  11.7482 0.705534 0.888365, 8.82627  11.8366 0.673194 0.865013, 8.84373  11.8077 0.678682 0.879395, 0.43776 0.506915  -3.8059 -1.00974
11, 17.9063  5.59608 0.767652 -1.02234, 18.0738  5.13341 0.723652 -1.07654, 18.0745  5.26053  0.73661 -1.02943,0.939172 -5.99621 -4.04382 0.693736
14,  2.94353   7.94564  0.812975 -0.866144,  3.17114   8.10282   0.82241 -0.933402,  3.15997   8.08132  0.799912 -0.894067, 7.35338  1.70758 -1.60684  3.22385
15,  5.66522   18.0165 -0.624999 -0.719579,  5.86418   17.6448 -0.627758 -0.739049,   5.7822   17.7774 -0.633179 -0.729064, 2.06476 -1.32743  1.30893  1.31805
17, 6.03087  17.7194 -1.14015 -1.15199,  6.1273  17.8807 -1.08059 -1.14759, 5.99327  17.7502 -1.10998 -1.15638,-0.623349   0.17354  -2.64651   0.38052
19, 7.70632  13.5078  1.18179 -0.64807,  7.52277   13.4712   1.15543 -0.628827,  7.59717   13.4564   1.16978 -0.637543, -1.41638 -0.380481  -1.01628  -1.62436
20,  4.21965   7.97756 -0.788974 -0.780877,  4.27066   7.61627 -0.801703 -0.740175,  4.28019   7.70602 -0.809317 -0.764284,  1.4348 -3.40376  2.57846 -2.12486
21,  3.03349   4.06436 -0.659473 -0.991615,  2.90093   4.19215 -0.670595  -1.00473,  2.95272   4.16484 -0.669717 -0.988844, -2.66257   2.47233   1.55345 -0.279397
5,  13.5501   5.98701 -0.795208  -1.16552,  13.7386    5.2495 -0.824486  -1.20665,  13.6734   5.35227 -0.826695   -1.1755,0.909791  -10.602  3.95961 0.856175
6,  3.83373   1.23339  0.946999 -0.951825, 3.77891  1.15634  0.95135 -0.89715,  3.83816   1.21001  0.955325 -0.915912, 0.11558 -1.89578 0.879267 -3.77304
7, 5.40863  18.7271 -1.09047 -1.13779, 5.48443  18.9112 -1.06474 -1.12299, 5.44285  18.8863 -1.09668   -1.121, 0.63267 0.850323 0.569936 -1.47631
8,  8.8287  11.7778 0.705534 0.888365, 8.54257  11.7398 0.724106 0.949772, 8.61556  11.7618 0.706714 0.922878, -2.41422 -0.135394  0.167214   3.88493
11, 17.9319    5.562 0.767652 -1.02234, 17.7496  5.56442 0.777747 -1.07783, 17.8283  5.48818 0.761989  -1.0593,-0.577505  -1.32725 -0.737763   3.61494
14,  2.97062   7.91677  0.812975 -0.866144,  2.82393   8.01362   0.80899 -0.819807,  2.90561    8.0223  0.805476 -0.848177, -2.18849   1.33297 -0.922456  -2.07435
15,  5.64439   17.9926 -0.624999 -0.719579,  5.35367   17.8818 -0.627664 -0.631305,  5.44541    17.853 -0.629823 -0.668629, -3.52525 -0.775722  0.771925  -7.08058
17, 5.99286   17.681 -1.14015 -1.15199,  6.1161  17.6348 -1.14807 -1.15062, 6.08004  17.6521  -1.1335 -1.15283,   1.4547 -0.163647 -0.583482 0.0724986
19, 7.74572  13.4862  1.18179 -0.64807,  7.56108   13.6039    1.2469 -0.668061,  7.57814   13.5658   1.21743 -0.656382,-2.16353 0.590697  3.01607  1.28254
20,  4.19335   7.95153 -0.788974 -0.780877,  4.34005   7.74579 -0.843977  -0.74516,  4.32043   7.73114 -0.830727 -0.752456, 3.03063 -2.77167   5.2921 -3.63955
21,   3.0115    4.0313 -0.659473 -0.991615,  2.74056   4.05681 -0.679244 -0.924762,  2.78328   4.07384  -0.67563 -0.949249,-7.57841  1.05513  2.44996  -4.2724
5,  13.5236   5.94816 -0.795208  -1.16552,  13.3333   6.08566 -0.810633  -1.15793,  13.4037   5.91175 -0.816809  -1.16454, -0.886568  -0.612191    2.71637 -0.0842786
6,  3.86529   1.20166  0.946999 -0.951825,  3.92436   1.34995  0.879413 -0.983313,  3.91198   1.31144  0.908416 -0.957546, 1.20777  9.13527 -4.07419 0.601047
7, 5.37228  18.6892 -1.09047 -1.13779, 5.11349  18.8522 -1.08213 -1.13755, 5.17945  18.8515 -1.08773 -1.13123, -3.58948  0.868418  -0.25127 -0.576929
8, 8.85222  11.8074 0.705534 0.888365,  9.0034  11.9633 0.697366 0.790815, 8.92137  11.9246 0.700984 0.841281, 0.781116  0.992615 -0.644941  -5.30014
11, 17.9575  5.52793 0.767652 -1.02234, 17.9372  5.66293 0.703363 -1.07329, 17.9183  5.61561 0.725767 -1.06792,-0.218239   1.58623  -5.45629    4.4582
14,  2.99772    7.8879  0.812975 -0.866144,  3.56007   7.70905  0.754712 -0.924192,  3.41867   7.77307  0.774183 -0.895194, 14.0421 -1.45581 -4.77155  3.35393
15,  5.62356   17.9686 -0.624999 -0.719579,  5.38517   18.1837 -0.567424 -0.698805,  5.39413   18.1042 -0.591263 -0.687233,-4.07978 0.754763 -5.39766 -4.49514
17, 5.95486  17.6426 -1.14015 -1.15199, 6.33564  17.8289 -1.06222 -1.15277, 6.26972  17.7805 -1.08941 -1.15277,  5.28754  0.781269  -4.45045 0.0670762
19, 7.78511  13.4646  1.18179 -0.64807,  7.66796   13.5481   1.16265 -0.686781,  7.65676   13.5471   1.18358 -0.675169,-1.64858 0.612765 0.152024  4.18146
20,  4.16705    7.9255 -0.788974 -0.780877,  4.60761   7.58042 -0.798225 -0.728492,  4.53678   7.60875 -0.810599 -0.737662, 8.87277 -3.99656  2.74095 -5.53412
21,  2.98952   3.99825 -0.659473 -0.991615,  3.09544    4.0056 -0.630054  -0.99628,  3.02018   4.01375 -0.647419 -0.978321, 1.02554 0.387755 -1.82774 -1.34069
5,  13.4971   5.90931 -0.795208  -1.16552,  13.3156   5.74493 -0.763977  -1.16725,  13.3294   5.77374 -0.784165  -1.16623,  -1.2423  -2.29418   -1.3887 0.0609895
6,  3.89686   1.16993  0.946999 -0.951825,  4.40493   1.17708  0.940996 -0.972719,  4.30083   1.20011  0.928611 -0.966936, 10.3665  2.57942 -1.94162  1.58763
7, 5.33593  18.6512 -1.09047 -1.13779,  5.2488  18.4665 -1.15092 -1.14137,  5.2249  18.5447 -1.12677 -1.13754,  -2.08093  -0.571481    3.32889 -0.0222222
8, 8.87574   11.837 0.705534 0.888365, 8.93332  12.2543 0.671216 0.904889, 8.93583  12.1865 0.682585 0.880632, 0.677026   2.95248  -3.25274 -0.870527
11, 17.9831  5.49385 0.767652 -1.02234,  18.1748   5.18572  0.763942 -0.986778, 18.1225  5.27465  0.74939 -1.01782, 0.775558  -3.98984  -2.37895 -0.442081
14,  3.02482   7.85903  0.812975 -0.866144,  3.22849   8.28929  0.853256 -0.745718,  3.27727   8.16664  0.823025 -0.802742, 8.34577  3.91409  1.23619 -7.31998
15,  5.60272   17.9446 -0.624999 -0.719579,  5.79636   17.5984 -0.655865 -0.625806,  5.70123   17.7072 -0.631135 -0.649331, 1.75829 -1.32279 0.981753 -9.76234
17, 5.91685  17.6042 -1.14015 -1.15199, 5.73715  17.4537 -1.11977 -1.18329, 5.84883  17.5185 -1.10824 -1.17167, -1.14973 -0.486798  -2.79929   1.70804
19,  7.8245   13.443  1.18179 -0.64807,  7.69784   13.6613   1.21179 -0.636321,  7.69753   13.6306   1.20102 -0.651142,-1.62273  1.39556  1.62711 0.473925
20,  4.14075   7.89947 -0.788974 -0.780877,  4.14432   8.05184 -0.800832 -0.670196,  4.22662   7.94667  -0.80461 -0.695905, 2.07379 0.597553  1.98188 -10.8815
21,  2.96754   3.96519 -0.659473 -0.991615,  2.58637   4.28116 -0.723156 -0.941448,  2.67903   4.21369 -0.694281 -0.955493,-9.72202  6.26685  5.27813 -3.64272
5,  13.4706   5.87046 -0.795208  -1.16552,  13.0989   6.46217 -0.832322  -1.19264,  13.1448   6.29837 -0.813954  -1.18246,-2.41841  7.28923  2.35734  1.45334
6,  3.92843   1.13821  0.946999 -0.951825,  3.51243  0.488633  0.995603 -0.976528,  3.69704  0.641544  0.969909 -0.972952,-5.89013 -43.6355  2.41922  2.21967
7, 5.29958  18.6133 -1.09047 -1.13779, 5.23691  18.4367  -1.0965 -1.08078, 5.22581  18.4526 -1.10806 -1.10247, -1.39216 -0.863472   1.61288  -3.10466
8, 8.89926  11.8666 0.705534 0.888365, 9.02332  11.7827 0.658959 0.866765,  9.0087  11.8802 0.667992 0.872006,  1.2298 0.114241 -5.32111 -1.84156
11, 18.0087  5.45977 0.767652 -1.02234, 17.8258  5.32102 0.761765 -1.09327, 17.8983  5.30279 0.756997 -1.06444,-0.612981  -2.87514   -1.3881   4.11813
14,  3.05192   7.83016  0.812975 -0.866144,  3.16392    8.3975  0.833583 -0.931095,  3.19564   8.33924  0.829532 -0.882035, 4.7091 6.50164 2.03657 1.83471
15,  5.58189   17.9206 -0.624999 -0.719579,  5.81677   18.2908 -0.725477 -0.736887,  5.78584   18.1544 -0.689424 -0.703365, 3.65373  1.30447   10.308 -2.25325
17, 5.87885  17.5658 -1.14015 -1.15199, 6.09217  17.0875  -1.1315 -1.14386, 6.02902  17.1758 -1.12258 -1.15453, 2.55442 -2.22063 -1.54139 0.220393
19, 7.86389  13.4214  1.18179 -0.64807,  7.70556    13.489   1.22866 -0.675126, 7.71282  13.5159   1.2181 -0.66598,-1.92115 0.704638  3.07243  2.76356
