obs_id,true_value,meas_value,corr_value,diff(%)
18,  27.0053   11.4567   0.96444 -0.630509,  27.3054   10.9807   1.05683 -0.590107,   27.225   11.1053   1.01108 -0.588665,0.813551   -3.067  4.83636  -6.6365
19, 22.5573  5.36364  1.18179 -0.64807, 22.6115  5.33377  1.22125 -0.69828,   22.608   5.30872   1.19566 -0.684392, 0.22491 -1.02396  1.17401  5.60462
1,  19.6546   10.9296   0.81513 -0.615168,  19.4456    10.991  0.843309 -0.606664,   19.476    11.025  0.828222 -0.623835,-0.908655  0.873401   1.60609   1.40892
2,   11.348   34.0823 -0.814928  0.728628,  11.0471   34.1934 -0.749787  0.669144,   11.074   34.2046 -0.784053  0.720678,  -2.414 0.358869  -3.7887 -1.09107
3, 27.0873  30.1281 0.800367 0.913709, 27.2848  30.1148 0.820924 0.881563, 27.1968  30.1423 0.821422 0.895945, 0.404506 0.0471074   2.63076  -1.94418
4, 31.4033  6.25516  1.19331 -0.90761,  31.4781    5.7194   1.20521 -0.988771,  31.4353   5.74952   1.21541 -0.973498,0.101783 -8.08351  1.85148  7.25957
8, 17.6948  22.9415 0.705534 0.888365, 17.5393  23.1648 0.714024 0.825289, 17.5265  23.1295  0.71132 0.852869,-0.951182    0.8196  0.820097  -3.99572
10, 11.9302   33.022 -1.01197  0.92036, 11.7341  32.7789 -1.04498 0.995421, 11.8078  32.8548 -1.02938 0.976547, -1.02577 -0.506347   1.72003   6.10488
13, 19.2674  34.1395 0.997106  1.19529,19.3417 34.0035 1.05412 1.18119,19.3395 34.0618  1.0489 1.16089, 0.374384 -0.227667   5.19477  -2.87751
16, 21.6612  32.2449 0.992117 0.773403, 21.3943  32.5199 0.997073 0.789994, 21.5087  32.4835 0.980212 0.790557,-0.703761  0.739778  -1.19993   2.21797
18,  27.0374   11.4357   0.96444 -0.630509,   27.373   11.3847  0.916404 -0.648228,  27.3525   11.3313  0.952581 -0.625444,  1.16517 -0.912696  -1.22958 -0.803361
19, 22.5967  5.34204  1.18179 -0.64807,  22.3497   5.30717   1.11566 -0.687622,  22.4027   5.30338   1.14618 -0.686386,-0.858602 -0.723651   -3.0126   5.91227
1,  19.6818   10.9091   0.81513 -0.615168,  19.3651   10.6932  0.822297 -0.600875, 19.3897  10.7486 0.824545 -0.60968,-1.48388 -1.47065  1.15498 -0.89214
2,  11.3208   34.1065 -0.814928  0.728628, 11.0361   33.885 -0.81306 0.729628,  11.0382   33.9462 -0.801981  0.726171,  -2.4966 -0.470203  -1.58869 -0.337163
3, 27.1139  30.1586 0.800367 0.913709, 27.0791  29.7337 0.831727 0.884682,  27.105  29.8118 0.827775 0.888936,-0.0330976   -1.14985    3.42444   -2.71135
4, 31.4431  6.22491  1.19331 -0.90761,  31.6862   6.31539   1.11685 -0.849976,  31.6486   6.20903   1.15452 -0.897091, 0.653476 -0.255045   -3.2511  -1.15898
8, 17.7184  22.9711 0.705534 0.888365, 17.5862    22.94 0.744021 0.964038, 17.5799   22.979 0.731535 0.921551,-0.781666 0.0345831   3.68522   3.73556
10, 11.8965  33.0527 -1.01197  0.92036,  11.4812   32.9277 -0.983994  0.887932, 11.5334  32.9203 -1.00136 0.921784, -3.05249 -0.400401   -1.0484  0.154743
13, 19.3006  34.1794 0.997106  1.19529, 19.253 34.1781 1.05211 1.11791,19.2746 34.1642 1.05087 1.13434, -0.134765 -0.0442638    5.39185   -5.09923
16, 21.6942  32.2707 0.992117 0.773403,  21.704  32.3272 0.996446 0.815197,  21.675  32.3597 0.990264 0.805765,-0.0884911   0.275972  -0.186819    4.18438
18,  27.0696   11.4147   0.96444 -0.630509,  27.2548   11.2743  0.912839 -0.653863,  27.2778   11.2807  0.928005 -0.643012,0.769272 -1.17342 -3.77787  1.98298
19, 22.6361  5.32043  1.18179 -0.64807,  22.8529   5.30447   1.08281 -0.649943,  22.7794   5.30026   1.10707 -0.663861, 0.633056 -0.379144  -6.32271   2.43648
1,   19.709   10.8886   0.81513 -0.615168,  19.7618   11.2281  0.863778 -0.622753,  19.7005   11.1391  0.848831 -0.617704,-0.0428426    2.30063     4.1344   0.412274
