obs_id,true_value,meas_value,corr_value,diff(%)
2,  12.5704   32.9893 -0.814928  0.728628,  12.3655   32.6236 -0.800414  0.709648, 12.3892  32.7258 -0.81582 0.722518, -1.44088 -0.798583  0.109521 -0.838499
3, 25.8868  28.7576 0.800367 0.913709, 25.9691   28.776 0.804005 0.895493, 25.9077  28.8178 0.821655 0.904702,0.0808201  0.209494   2.65977 -0.985766
4, 29.6133  7.61658  1.19331 -0.90761,  29.8688   7.52199   1.19489 -0.887688, 29.7654  7.62824   1.1821 -0.89955, 0.513651  0.152969 -0.939508 -0.888044
8, 16.6365   21.609 0.705534 0.888365, 16.4236  21.6949  0.72544 0.887616, 16.5278  21.6356 0.723059 0.902512,-0.653723  0.123123   2.48392   1.59248
10, 13.4482  31.6415 -1.01197  0.92036, 13.3604  31.8688 -1.00078 0.836017,13.3852 31.8892 -1.0069 0.87497,-0.468115  0.782838 -0.500635  -4.93173
12,  3.91599   9.11883  -1.15554 -0.976513,  3.60053   9.19777   -1.1135 -0.976008, 3.61411  9.15161  -1.1307 -1.00498,-7.70895 0.359431 -2.14935  2.91494
13, 17.7717  32.3465 0.997106  1.19529,17.4661  32.248 1.05628 1.18358,17.5332 32.2283 1.01591 1.19011, -1.34186 -0.365625   1.88614  -0.43292
14,  11.9676  -1.66857  0.812975 -0.866144,  11.9249  -1.57447  0.773219 -0.811613,  11.9495  -1.56222  0.789857 -0.839018,-0.151359  -6.37375   -2.8436  -3.13174
15, -1.27227   10.0292 -0.624999 -0.719579, -1.43371   9.89744 -0.677891 -0.735963, -1.43732   9.95651 -0.653371 -0.736037,  12.9722 -0.724491   4.53953   2.28717
16,  20.173  31.0848 0.992117 0.773403, 20.3114  31.0244  1.03815 0.781068, 20.2421  31.0258  1.02208 0.763617, 0.342639 -0.190012   3.02025  -1.26535
18,  25.5908   12.3814   0.96444 -0.630509,  25.5521    12.527  0.903216 -0.701019,  25.5835   12.4636  0.929191 -0.671488,-0.0281585   0.663851   -3.65481    6.49938
19,  20.824  6.31413  1.18179 -0.64807,  21.1493   6.51252   1.07071 -0.694707,  21.0488   6.41605    1.1108 -0.667156, 1.07937  1.61408 -6.00674  2.94502
22, 21.7577   2.3839 0.692302 -1.19072, 21.6653  2.72201 0.662309 -1.09372, 21.6784  2.64093 0.662878 -1.12864,-0.364521    10.782  -4.25015  -5.21327
24,-1.02251  7.67235 -1.08467 -1.03876,-0.842633   7.58294   -1.0975  -1.04703,-0.933731   7.60185  -1.10671  -1.04468, -8.68233 -0.918889   2.03199  0.570044
1,  18.4591   11.8318   0.81513 -0.615168,  18.2795   12.0607  0.824972 -0.624511,  18.3148    12.025  0.819368 -0.608128,-0.782019   1.63246  0.519904  -1.14431
2,  12.5432   33.0136 -0.814928  0.728628, 12.1144  32.7355 -0.88509 0.717372,    12.17   32.7388 -0.858663  0.719336, -2.97505 -0.832452   5.36677  -1.27526
3, 25.9134  28.7881 0.800367 0.913709, 25.9728  28.7218  0.74883 0.897918, 25.9642  28.7502 0.776652 0.900493, 0.195759 -0.131542  -2.96303  -1.44643
4, 29.6531  7.58633  1.19331 -0.90761,  29.3966   7.84224   1.24403 -0.868554,  29.4886   7.78737   1.22032 -0.880362,-0.554649   2.64996   2.26353  -3.00215
8, 16.6601  21.6386 0.705534 0.888365, 16.2215  21.7595 0.739451 0.902441, 16.2959  21.7383 0.733147 0.902481,-2.18569 0.461108  3.91373   1.5889
10, 13.4145  31.6722 -1.01197  0.92036,  13.182  31.6926 -1.02418  1.02637, 13.2202  31.7437  -1.0176 0.968511,-1.44814 0.225921 0.556413  5.23176
12,  3.87748   9.08628  -1.15554 -0.976513, 3.57096   9.3834 -1.14801 -1.03094, 3.57216  9.32362  -1.1414 -1.02099,-7.87418  2.61208  -1.2233   4.5543
13, 17.8049  32.3864 0.997106  1.19529,17.8531 32.3323  1.0034 1.29197,17.7887  32.318 1.00822 1.25307,-0.0911417  -0.211027    1.11433    4.83442
14,  11.9947  -1.69744  0.812975 -0.866144,  11.9605  -1.80521  0.801782 -0.844354,   11.964  -1.75681  0.797225 -0.842344,-0.256055   3.49743   -1.9373   -2.7478
15, -1.29311   10.0052 -0.624999 -0.719579,-0.920636   9.52285 -0.607103 -0.692397, -1.04178   9.61504 -0.624706 -0.709119,  -19.4361   -3.89937 -0.0467778   -1.45367
16,  20.206  31.1106 0.992117 0.773403, 20.0709  31.1422 0.967901 0.821798,  20.117  31.1218  0.98857 0.799586,-0.440664 0.0359943 -0.357532   3.38547
18,  25.6229   12.3604   0.96444 -0.630509,  25.5044   12.4415   0.91784 -0.591977,  25.5292   12.4416  0.922162 -0.622347,-0.365683  0.656508   -4.3837  -1.29445
19, 20.8634  6.29253  1.18179 -0.64807,  21.1461   6.39791   1.20807 -0.664925,  21.1327   6.39699   1.17092 -0.665777,  1.29069   1.66009 -0.919439   2.73219
22, 21.7808  2.34421 0.692302 -1.19072, 21.7053  2.21589  0.71614 -1.21945, 21.7043  2.30294 0.695796 -1.18481,-0.350964   -1.7607   0.50467 -0.495991
24,-1.05866  7.63772 -1.08467 -1.03876, -1.0387   7.1406 -1.13743 -1.05862,-1.02343  7.23658 -1.12571 -1.05335,-3.32806 -5.25209  3.78289  1.40497
1,  18.4863   11.8113   0.81513 -0.615168,   18.504   11.4206  0.830455 -0.636477,  18.4676   11.5521  0.826241 -0.625724,-0.101278  -2.19482   1.36306   1.71607
